ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2019-12-27T18:15:53Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",553902,JP,,,,,Level Design Lobby - Ep 34: God of War,Level Design Lobby,spotify:episode:2Q9CgbzAwEGyZRjn0t2Cea,appload,logout,False,,False,1577453266623,False
2019-12-28T03:07:49Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",970235,JP,,,,,Level Design Lobby - Ep 34: God of War,Level Design Lobby,spotify:episode:2Q9CgbzAwEGyZRjn0t2Cea,appload,logout,False,,False,1577470552786,False
2019-12-28T04:37:57Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2781664,JP,,,,,Level Design Lobby - Ep 34: God of War,Level Design Lobby,spotify:episode:2Q9CgbzAwEGyZRjn0t2Cea,appload,fwdbtn,False,,False,1577505093441,False
2019-12-28T04:38:04Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",4853,JP,,,,,Q&A - Level Design Lobby: Episode 6,Level Design Lobby,spotify:episode:6qZQ80h5lNrNlJPZI3bG87,fwdbtn,endplay,False,,False,1577507875717,False
2019-12-28T18:20:56Z,Windows 10 (10.0.18362; x64),260,JP,,,,,Level Design Lobby - Ep 34: God of War,Level Design Lobby,spotify:episode:2Q9CgbzAwEGyZRjn0t2Cea,appload,endplay,False,,False,1577557249592,False
2020-01-16T12:17:47Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",2179123,JP,,,,,GameBoiz Show Episode V,GameBoiz's Podcast,spotify:episode:7BnPB42wYbDWtNk204iP2C,clickrow,logout,False,,False,1579160042092,False
2020-01-17T05:53:46Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",4752,JP,,,,,GameBoiz Show Episode V,GameBoiz's Podcast,spotify:episode:7BnPB42wYbDWtNk204iP2C,appload,logout,False,,False,1579177113761,False
2020-01-17T07:49:12Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",694371,JP,,,,,GameBoiz Show Episode V,GameBoiz's Podcast,spotify:episode:7BnPB42wYbDWtNk204iP2C,appload,logout,False,,False,1579240427591,False
2020-01-17T08:37:57Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",708179,JP,,,,,GameBoiz Show Episode V,GameBoiz's Podcast,spotify:episode:7BnPB42wYbDWtNk204iP2C,appload,trackdone,False,,False,1579247351922,False
2020-01-17T16:21:29Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",33696,JP,,,,,GameBoiz Show Episode VI,GameBoiz's Podcast,spotify:episode:0fTfuw8HgOaNFJYYfZSE7n,trackdone,logout,False,,False,1579250276330,False
2020-01-17T19:53:02Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",0,JP,,,,,GameBoiz Show Episode VI,GameBoiz's Podcast,spotify:episode:0fTfuw8HgOaNFJYYfZSE7n,appload,logout,False,,False,1579278088732,False
2020-01-17T20:17:34Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",502640,JP,,,,,Q&A - Level Design Lobby: Episode 6,Level Design Lobby,spotify:episode:6qZQ80h5lNrNlJPZI3bG87,clickrow,logout,False,,False,1579290792134,False
2020-01-21T06:04:01Z,Windows 10 (10.0.18362; x64; AppX),25610,JP,,,,,Level Design Lobby - Ep 34: God of War,Level Design Lobby,spotify:episode:2Q9CgbzAwEGyZRjn0t2Cea,remote,logout,False,,False,1577344792023,False
2020-01-21T06:26:15Z,Windows 10 (10.0.18362; x64; AppX),975920,JP,,,,,Text Mining in R,Data Skeptic,spotify:episode:6DNiSlIKA5e7Vd0fMKyPQY,clickrow,endplay,False,,False,1579586984495,False
2020-01-21T06:40:54Z,Windows 10 (10.0.18362; x64; AppX),877300,JP,,,,,Data Science Hiring Processes,Data Skeptic,spotify:episode:6gGsW0jjhkCmP2KWUGZYkP,clickrow,endplay,False,,False,1579587975257,False
2020-01-21T07:00:32Z,Windows 10 (10.0.18362; x64; AppX),1177680,JP,,,,,Indie Developers Are Screwed,GameDev Breakdown,spotify:episode:1M1zNmA2vtfTv5XMsLIUyB,clickrow,trackdone,False,,False,1579588854483,False
2020-01-21T07:01:35Z,Windows 10 (10.0.18362; x64; AppX),61629,JP,,,,,Ash Lyons of Gearbox,GameDev Breakdown,spotify:episode:6OBBFlclmUtNH5qh8shqNp,trackdone,endplay,False,,False,1579590032259,False
2020-01-21T08:02:30Z,Windows 10 (10.0.18362; x64; AppX),3522004,JP,,,,,Game Designer Richard Rouse III,GameDev Breakdown,spotify:episode:6pROs81vxCstihcflmcABT,clickrow,trackdone,False,,False,1579590095178,False
2020-01-21T08:05:27Z,Windows 10 (10.0.18362; x64; AppX),177310,JP,,,,,Nightfall Unlimited Appearance,GameDev Breakdown,spotify:episode:3d9MtL4nTX9iBv5qMw6BfM,trackdone,endplay,False,,False,1579593750606,False
2020-01-21T08:40:47Z,Windows 10 (10.0.18362; x64; AppX),2115432,JP,,,,,Q&A - Level Design Lobby: Episode 6,Level Design Lobby,spotify:episode:6qZQ80h5lNrNlJPZI3bG87,clickrow,trackdone,False,,False,1579593927975,False
2020-01-21T08:53:03Z,Windows 10 (10.0.18362; x64; AppX),732499,JP,,,,,Bonus Episode: Essential Reading 17,Level Design Lobby,spotify:episode:2vrAsYVRNuQmt6lcNnI3kC,trackdone,trackdone,False,,False,1579596047847,False
2020-01-21T09:10:35Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",319326,JP,,,,,Text Mining in R,Data Skeptic,spotify:episode:6DNiSlIKA5e7Vd0fMKyPQY,appload,endplay,False,,False,1579597512429,False
2020-01-23T03:25:00Z,Windows 10 (10.0.18362; x64; AppX),712160,JP,,,,,Level Design Lobby - Ep 35: Mario Kart,Level Design Lobby,spotify:episode:1XFnmL8LLyUN6isHJ5S0nL,trackdone,logout,False,,False,1579596783376,False
2020-01-26T07:26:57Z,Windows 10 (10.0.18362; x64; AppX),20860,JP,,,,,How to Overcome Imposter Syndrome and Gain the Confidence to Get Started Today with Jonathan Jennings 99,GameDev Loadout | A Game Developer Podcast,spotify:episode:1crqbe2NtI21BnYwfUkxXb,clickrow,endplay,False,,False,1580023594293,False
2020-01-26T07:27:01Z,Windows 10 (10.0.18362; x64; AppX),4330,JP,,,,,"86: Game Development is a Process, Identity, and Marketing Term with Nick Culbertson of Moby Pixel",GameDev Loadout | A Game Developer Podcast,spotify:episode:08emlp0hArFPeakZ1KhLHd,clickrow,endplay,False,,False,1580023616056,False
2020-01-26T08:09:24Z,Windows 10 (10.0.18362; x64; AppX),2541931,JP,,,,,84: What Makes People Buy Games with Dan Schoenbaum of Cooladata,GameDev Loadout | A Game Developer Podcast,spotify:episode:1JoQYBGX9u69ltjv5qHd2U,clickrow,trackdone,False,,False,1580023620917,False
2020-01-26T08:09:52Z,Windows 10 (10.0.18362; x64; AppX),26358,JP,,,,,"83: Toolsmith, Rendering Gods, and Revision Control System with Blair Leggett of One More Story Games",GameDev Loadout | A Game Developer Podcast,spotify:episode:5wwNBaXkFlH535pX1BAPke,trackdone,endplay,False,,False,1580026163689,False
2020-01-26T08:59:21Z,Windows 10 (10.0.18362; x64; AppX),2968458,JP,,,,,"72: Gamification, Professor Game Podcast, and Reading with Rob Alvarez",GameDev Loadout | A Game Developer Podcast,spotify:episode:3P0vUWiArbl7UHalxbG3Gu,clickrow,trackdone,False,,False,1580026191352,False
2020-01-27T07:15:57Z,Windows 10 (10.0.18362; x64),12850,JP,,,,,"71: Resume, Cover Letter, and Getting a Job with Sonia Michaels",GameDev Loadout | A Game Developer Podcast,spotify:episode:4KemEYKNFsX5Wj1HPQ3gHh,remote,endplay,False,,False,1580040455436,False
2020-01-27T08:04:46Z,Windows 10 (10.0.18362; x64),2928927,JP,,,,,"68: Marketing, Social Media, and Friendships with Daniel Doan",GameDev Loadout | A Game Developer Podcast,spotify:episode:4rdJXLZtXdO7msIJk88r4I,clickrow,trackdone,False,,False,1580109356362,False
2020-01-27T08:54:15Z,Windows 10 (10.0.18362; x64),2968398,JP,,,,,67: The Influence of Sound and Finding Great People with Michael Sweet,GameDev Loadout | A Game Developer Podcast,spotify:episode:5MsHazopLCEKec9HQY4xhV,trackdone,trackdone,False,,False,1580112284853,False
2020-01-28T04:33:57Z,Windows 10 (10.0.18362; x64; AppX),2088491,JP,,,,,"71: Resume, Cover Letter, and Getting a Job with Sonia Michaels",GameDev Loadout | A Game Developer Podcast,spotify:episode:4KemEYKNFsX5Wj1HPQ3gHh,trackdone,remote,False,,False,1580029160420,False
2020-01-28T04:48:33Z,Windows 10 (10.0.18362; x64),858794,JP,,,,,66: Doing Monthly Game Jam with Henrique Olifiers of Bossa Studios,GameDev Loadout | A Game Developer Podcast,spotify:episode:3h5btu2rume5FFphJNhGu8,trackdone,logout,False,,False,1580115253760,False
2020-01-28T05:28:38Z,"Android OS 9 API 28 (OnePlus, ONEPLUS A5010)",678504,JP,,,,,65: Honest Communication in Business Development with Jake DiGennaro,GameDev Loadout | A Game Developer Podcast,spotify:episode:5qFYgCriRYh3ovoiC9lCkC,clickrow,logout,False,,False,1580186035387,False
