danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.573,0.975,1,-4.717,0,0.0563,0.000102,0.193,0.329,0.199,130.003,4
0.546,0.804,1,-2.312,1,0.11,0.00183,0.0992,0.0705,0.36,174.149,4
0.787,0.75,7,-6.799,1,0.509,0.549,0.0,0.16,0.333,141.003,4
0.417,0.765,4,-8.747,1,0.157,0.28,1.75e-06,0.722,0.573,179.664,4
0.494,0.596,10,-6.95,0,0.612,0.0228,0.266,0.107,0.152,149.993,4
0.818,0.56,9,-6.799,0,0.0268,0.213,0.245,0.0754,0.21,124.006,4
0.705,0.924,9,-2.975,0,0.0438,0.0468,0.0466,0.573,0.307,128.066,4
0.534,0.763,7,-7.132,0,0.0826,0.000389,0.846,0.0966,0.0387,125.968,4
0.504,0.876,1,-2.992,0,0.062,0.26,0.0,0.38,0.17,109.918,4
0.865,0.5,3,-10.098,0,0.311,0.0265,0.0612,0.36,0.617,123.088,4
0.827,0.524,10,-9.819,1,0.0536,0.552,0.000112,0.198,0.356,136.785,4
0.785,0.504,2,-8.423,1,0.133,0.175,0.0,0.047,0.709,99.464,4
0.509,0.886,6,-5.589,1,0.0575,0.00258,0.756,0.103,0.575,139.989,4
0.565,0.621,10,-6.843,1,0.0749,0.67,0.0,0.331,0.577,163.998,4
0.751,0.678,11,-8.424,0,0.0373,0.414,0.0,0.0721,0.865,121.946,4
0.732,0.991,0,-3.783,1,0.152,0.0152,0.855,0.243,0.55,127.015,4
0.607,0.611,11,-5.627,0,0.161,0.567,1.25e-05,0.0794,0.433,170.079,4
0.386,0.908,2,-4.215,0,0.143,0.00358,0.186,0.308,0.622,160.081,4
0.359,0.722,7,-4.486,1,0.0383,0.0232,0.00109,0.103,0.475,96.419,3
0.462,0.85,6,-5.558,0,0.0453,0.0256,1.94e-05,0.0756,0.206,172.063,4
0.873,0.276,7,-17.043,0,0.588,0.154,0.0,0.128,0.347,130.797,4
0.797,0.53,8,-3.802,1,0.0737,0.375,0.0048,0.0955,0.269,110.08,3
0.589,0.745,2,-7.883,1,0.41,0.248,0.0,0.246,0.328,131.22,5
0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4
0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,4
0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4
0.684,0.549,9,-5.695,1,0.248,0.11,0.0,0.125,0.277,81.441,4
0.838,0.492,1,-5.69,0,0.038,0.251,0.0,0.262,0.895,115.092,4
0.629,0.817,6,-4.261,1,0.0357,0.199,0.0,0.317,0.466,123.087,4
0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4
0.563,0.775,8,-6.433,1,0.0366,0.00251,0.0,0.326,0.458,144.945,4
0.67,0.839,0,-4.023,1,0.036,0.0607,0.000764,0.159,0.726,105.002,4
0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,4
0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,4
0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,4
0.747,0.76,1,-4.294,1,0.187,0.448,0.0,0.153,0.682,99.975,4
0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4
0.617,0.567,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246,4
0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,3
0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
0.675,0.632,5,-4.542,1,0.0439,0.122,0.0,0.141,0.704,124.035,4
0.68,0.852,7,-4.35,1,0.0349,0.117,0.0,0.0866,0.858,101.993,4
0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4
0.64,0.812,8,-5.647,0,0.0834,0.086,0.0,0.0509,0.914,86.013,4
0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4
0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,4
0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,4
0.617,0.439,9,-5.63,1,0.0269,0.424,0.0,0.127,0.242,139.979,4
0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4
0.446,0.793,0,-5.365,1,0.156,0.089,0.0,0.211,0.47,189.891,4
0.874,0.67,11,-6.064,0,0.126,0.165,0.0,0.185,0.68,124.011,4
0.77,0.787,10,-4.402,0,0.113,0.0482,0.0,0.108,0.699,125.013,4
0.78,0.745,7,-3.97,1,0.145,0.0559,0.0,0.0595,0.862,94.026,4
0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,4
0.769,0.813,0,-5.9,0,0.143,0.429,0.0,0.0952,0.567,92.985,4
0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3
0.604,0.366,7,-7.881,1,0.0267,0.719,0.0,0.162,0.181,105.177,3
0.721,0.736,10,-8.15,1,0.0359,0.24,0.02,0.0892,0.417,127.974,4
0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,4
0.803,0.743,1,-3.602,0,0.0681,0.105,2.12e-06,0.099,0.674,108.005,4
0.744,0.836,6,-2.396,0,0.0507,0.0435,0.0,0.194,0.36,114.965,4
0.683,0.427,8,-6.827,1,0.0777,0.368,0.0,0.0604,0.426,113.634,4
0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,4
0.859,0.756,8,-3.36,0,0.0643,0.168,4.65e-05,0.163,0.91,102.033,4
0.703,0.715,9,-6.285,0,0.114,0.139,0.0,0.0456,0.497,99.924,4
0.61,0.712,9,-7.808,1,0.0776,0.0147,1.12e-05,0.0843,0.283,128.921,4
0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,4
0.688,0.822,0,-3.304,1,0.0537,0.0642,0.0,0.241,0.66,91.011,4
0.589,0.242,6,-10.517,1,0.0442,0.914,0.0,0.0887,0.257,89.749,4
0.683,0.691,8,-5.535,1,0.0432,0.243,0.0,0.14,0.732,179.91,4
0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,4
0.404,0.667,7,-5.077,1,0.421,0.0378,2.08e-05,0.212,0.213,166.265,4
0.735,0.812,1,-1.238,1,0.128,0.351,0.0,0.261,0.31,106.33,4
0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,4
0.289,0.36,5,-13.008,1,0.0391,0.931,0.88,0.265,0.366,119.899,4
0.552,0.964,4,-4.189,1,0.428,0.55,0.000452,0.225,0.631,183.993,4
0.0732,0.386,2,-9.358,0,0.0382,0.566,0.0857,0.0771,0.0969,182.427,3
0.43,0.85,2,-5.457,0,0.465,0.771,0.396,0.0711,0.577,174.694,3
0.443,0.42,2,-12.027,0,0.0306,0.808,0.804,0.095,0.443,135.291,4
0.356,0.184,2,-12.104,0,0.0391,0.922,0.946,0.123,0.312,118.299,4
0.212,0.382,0,-12.266,0,0.0431,0.962,0.792,0.098,0.0646,84.814,4
